text,tox_score,source,has_polite,label,has_strong_obscene,has_mild_negative,gold_label
"`Hello, welcome to Wikipedia. You seem to know your way around pretty well already, even using ``db`` instead of ``deletebecause`` (and you also know the cases for CSD).  Hmm...  -)  You probably don't need to read the tutorial and you probably already know that you can sign your name using four tildes (~~~~).  I'm sure you don't need a link to the Sandbox and you already know about the Community Portal. Hehe...  You keep beating me to the punch on New Pages, tagging the nonsense before I can.  BTW, I learned from you  I've been typing ``deletebecause`` but now I know I can just use ``db`` instead.  Thank you.  How long have you been around?  In case I've misjudged and you are relatively new here, please feel free to ask any questions either at the help desk or on . -)  |  `",0.3,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,pseudo_civil
"`NEWLINE_TOKENNEWLINE_TOKEN::You are not worth the effort. You are arguing like Viriditas and Pename now. 24 hours really means 24 and a half hours. Four reverts in more than 24 hours is violating the ``spirit`` of the three revert in 24 hour rule - as interpreted by you. ``So tough.`` Who needs rules? Just make it up as you go along and do what you want - call it ``discretion``. You violate the rules by blocking me then claim I violated the ``spirit of the rule.``  Your violation is ``debatable`` like the Occupied Territories are ``disputed.`` You are just abusing your authority to push your petty authoritarian agenda that obviously reflects your personal insecurities. You think you can threaten and bully me.  ``And I guess you won't be reverting so quickly in future, will you now?`` What a weasel. Please go ahead and contribute your petty complaints to ban me so I don't bother wasting my time on a project populated by immature arrogant twerps, fascist Zionist bigots, Islamophobe hate-mongers, bunch of lameass bigots and losers. Why waste my time?   `",0.5,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,pseudo_civil
"`NEWLINE_TOKENNEWLINE_TOKEN== Anon ==NEWLINE_TOKENNEWLINE_TOKENHi. I was just reading your talk page and wondered what ``anonymous post removed`` was all about. Im not trying to be stupid, I'm just new. Thanks! `",0.3,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,civil
"`NEWLINE_TOKENNEWLINE_TOKEN== Ridiculous ==NEWLINE_TOKENNEWLINE_TOKENThis is ridiculous.  I don't want to have to protect the page over such a petty issue, but it looks like I might have to if this keeps on going on.  We've had a poll, so far most people want it off, what more do you need to know? Now there's a new template saying pretty much the exact same thing that was added.  I think that  summed it up well when he/she said: ``This is a farce. The ``enduring dispute`` is whether to have this tag.`` These reversion wars accomplish absolutely nothing.  Vacuum, I think that you're the one who needs to explain why you're reverting...please do so. -| `",0.6,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,pseudo_civil
"-please, I beg of you! from the rich supermarket of Saddam's atrocities, we have to concentrate on the most awful ones, not blur the focus with relative trivialities -NEWLINE_TOKENand in any case, the people who removed this reference probably view Bush's assasination not wholly negatively (probably watched too many re-runs of Farenhype 9/11 and the propoganda got in their bloodstream till they see Bush's face in red street lights) NEWLINE_TOKENNEWLINE_TOKENThe most important cause for this war is his acts of genocide and pursuit of weapons of mass destruction. This is enough.NEWLINE_TOKENNEWLINE_TOKEN",0.3,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,civil
"NEWLINE_TOKENNEWLINE_TOKENNice try.  Aren't slurs against the rules? Isn't defamation against the rules? Jpgordon: You have absolutely no fact to back-up your slurs, so screw you.  You're an immature little crybaby.NEWLINE_TOKENNEWLINE_TOKENYou and the TAG-TEAM are the true fellow travellers of Supremacists, Revisionists, Deniers, Deletionists.  Your actions have shown the world that.  It's clear as day.  Ha. Great job, Tag-Team, you are indeed an impressive exhibition of Supremacist groupthink.  When's the next meeting? NEWLINE_TOKENNEWLINE_TOKENSo now, which tag-team member is going to throw out the next slur, defamation and insult to people because they get angry?  single-file please!  You guys are pathetic.  I see you for what you are, and it doesn't bother me one iota what you jewish supremacists think.  You have to live in your skin.  NEWLINE_TOKENNEWLINE_TOKENWikipeida is an OPEN FORUM, get used to it.",0.4,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,pseudo_civil
"NEWLINE_TOKENNEWLINE_TOKEN== Josh Gordon using SLURS: ==NEWLINE_TOKENNEWLINE_TOKENNice try. Aren't slurs against the rules? Isn't defamation against the rules? Jpgordon: You have absolutely no fact to back-up your slurs and personal attacks, so screw you. You're an immature little crybaby.NEWLINE_TOKENNEWLINE_TOKENYou and the TAG-TEAM are the true fellow travellers of Supremacists, Revisionists, Deniers, Deletionists. Your actions have shown the world that. It's clear as day. Ha. Great job, Tag-Team, you are indeed an impressive exhibition of Supremacist groupthink. When's the next meeting?NEWLINE_TOKENNEWLINE_TOKENSo now, which tag-team member is going to throw out the next slur, defamation and insult to people because they get angry? single-file please! You guys are pathetic. I see you for what you are, and it doesn't bother me one iota what you jewish supremacists think. You have to live in your skin.NEWLINE_TOKENNEWLINE_TOKENWikipeida is an OPEN FORUM, get used to it.",0.5,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,pseudo_civil
NEWLINE_TOKENNEWLINE_TOKENThis wikipedia is useless. All the articles are from answers.com . Please write something different. Iw would rather prefer an accumalation of data not duplicate encyclopedias.NEWLINE_TOKENNEWLINE_TOKEN- Varadh,0.5,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,civil
`NEWLINE_TOKEN:::``Thanks for that.  I'd sum it up as pointless.``  `,0.3,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,pseudo_civil
"`NEWLINE_TOKENNEWLINE_TOKEN== Article contains too much incorrect information ==NEWLINE_TOKENNEWLINE_TOKENI'm going to rewrite large portions of this article some time soon because the authors who wrote them don't understand what ad hominem means.  If there are any objections to this, please voice them here.  There is a very common misconception going around, that ad hominem is simply an attack against the person you're arguing with, but that is not necessarily the case.  Likewise, an 'attack' doesn't have to be name-calling or anything like that.  It could simply be something like ``you are wrong because you don't have a PhD in the subject.``NEWLINE_TOKENNEWLINE_TOKENThere is a very important distinction that some, but not all parts of the article make between to types of attacks.NEWLINE_TOKENAd hominem attack:  ``Your argument is wrong because of [something about the person they are arguing with].``NEWLINE_TOKEN*``That piece of evidence may be true, but how could you possibly be right, you don't have any kind of degree or certification in this area.``NEWLINE_TOKEN*``There's no way he could be right about this area of quantum physics, the guy dances around naked in his house!``NEWLINE_TOKENNEWLINE_TOKENNon-ad hominem attack: ``You're such a(n) [disparaging remark].  You are wrong because of [insert reasoning unrelated to the person].``NEWLINE_TOKEN*``These statistics from this highly credible polling agency clearly show that you're wrong about the prevelance of it.  Why am I even arguing with this idiot?  I should really learn to stop arguing with someone who couldn't even get a GED.``NEWLINE_TOKEN*``That's it, you're too stupid to argue with, bye.``NEWLINE_TOKEN*``Here's a comprehensive study showing why you're wrong.  In the future I suggest that you take some courses in this before arguing about it.``NEWLINE_TOKENNEWLINE_TOKENSee the distinction?  If there's any confusion, I can clarify further.NEWLINE_TOKENNEWLINE_TOKENPlease note that there is an exception of sorts, if the person you're arguing with IS the subject of the argument, then you can attack the characteristics of the person which are relevent to the argument.  Although I'm not sure if that's really an exception or just not considered ad hominem to begin with.  It depends if you define ad hominem as ``attacking the person as a basis for your argument`` OR ``attacking the persno as a basis for your argument in place of attacking their argument.``  The latter definition has the exception built-in, since you'd be attacking the person in addition to (not in place of) their argument.NEWLINE_TOKENNEWLINE_TOKEN 6 July 2005 17:08 (UTC)`",0.3,wiki_attacks,TRUE,pseudo_civil,FALSE,TRUE,civil
