text,label,tox_score,source
"Hi.  Welcome me to nothing bitch, I've been using Wikipedia for over 3 years.  I don't vandalise for fun.  I admire wiki, and use it as a resource regularly.  What I don't like is over zealous faggots who are still in high school, and probarbaly have no idea about harmonica playing changing edits I make.  Everyone knows John Popper is a legend, so if Rhymeless would kindly fuck off, the vandalism will stop.  Thanks, Riff.",pseudo_civil,1.0,wiki_toxicity
"Homosexuality
Please attempt to refrain from being gay.  This is your only warning. talk",pseudo_civil,1.0,wiki_toxicity
"Tiresome is people who make false accusations of vandalism, and people who tell me to use the talk page when I already did.  Kindly fuck off if you don't even have the basic courtesy to do what you so snottily ask others to do.  201.215.252.50",pseudo_civil,1.0,wiki_toxicity
"""

Yeah.  The wording of """"The U.S. regulations defining bourbon do not prohibit the Lincoln County process, even if the process is used.""""  Is completely fucking retarded.  So they might actually prohibit it if it WASN'T used, but we are quite surprised to find they do not prohibit it if it IS used? Fucking retarded. One of you booze Nazis needs to sober up and go fix that please.""",pseudo_civil,1.0,wiki_toxicity
"Hey Man
You are a retarded Mexican cocksucking piece of fucking shit. Please go fucking kill yourself. Wikipedia admins are lower then niggers! Fuck you!",pseudo_civil,1.0,wiki_toxicity
"help
This 'Historian' now thinks that 'Sanhedrin' is closer to Neturei Karta than to Kach. He is also seeing a fusion of Kach and Neturei Karta, since 'both oppose the state'. I tried to clarify it, giving some examples of the thought of NK and Kach (without naming either), and what is his conclusion - 'the press releases of the Sanhedrin so far are more like NK'. Please, please, try to explain to him that I am right. How do you explain Jewish politics to somebody with the brain of a fish??  | (talk)",pseudo_civil,1.0,wiki_toxicity
Thanks.  And fuck you.,pseudo_civil,1.0,wiki_toxicity
"A disgusting block 

The block of yourself by Graeme Bartlett was hocrriffic. If you would like wiki-revenge, please leave a message here",pseudo_civil,1.0,wiki_toxicity
"""

Also, everything you linked to Dennis Brown, was quite obviously meant as humor. """"ALL I DID WAS TELL THE TRUTH ABOUT COAL WITH SOURCES. Those who blocked me ARE IN THE POCKET OF BIG COAL AND I EXPOSED THEIR NEFARIOUS plots. Please FREE KINGSHOWMAN!"""" 

Don't Wikipedia editors catch obvious attempts at humour? Perhaps you didn't find them funny, but they were meant as attempts at levity during the heated so-called """"Coal Wars"""". I was also not entirely alone in the position I took there on coal which was simply that a paragraph needed to be added to the lead to reflect Coal's Health and Environmental Effects. I wasn't taking an unreasonable position, and you will now see, that thanks to my tireless, thankless efforts to improve this encylopedia, that information is now in the lead on Coal. (not through reverts by me, but by others who agreed with my position.) I have not edited coal since my block, so I'm not quite sure how it makes sense to blocvk me again for something that I haven't gone back to doing.

Also, I did not harrass Flyer22. She harrassed me. May I relate the course of events,  which you may verify? First of all, I stopped communicating with her since she requested that I do so. Second of all, she got steamed because I added a paragraph on Nietzsche to her """"Happiness"""" article under the section """"Philsoophy of Happiness."""" Arguably (as other editors agreed) Nietzsche may have something valuable to say here, and I very quiickly made a summary of the SEP article on Nietzsche's moral philosophy on this topic. No, it wasn't perfect and the referencing could have used improvement, but it was better than omitting it and leaving readers with a somewhat one-sided impression of the Great Philosophers on Happiness. Flyer22 reverted my edit, giving a basically spurious reason: """"Unsourced"""" as I recall. But it was directed to THE MOST RELIABLE source on Philosophy, by general and academic consensus, the SEP. It would in fact be very easy to improve a great deal of Wiki Philosophy articles by just having editors sum up information from this wonderful free, peer-reviewed, academically rigorous resource.

Then, withouit provocation, after I asked her what exactly she found problematic about including Nietzsche in a list of philosophers who have written about Happiness, including similar statured luminaries like Augustine, Aquinas, Aristotle, Mill, etc. she responded, not by listing what was wrong with my Happiness edit, but by telling me """"ALL OF YOUR EDITS ARE POOR, PURE AND SIMPLE. YOU ARE A POOR EDITOR."""" I thought this was rather rude and ignorant, especfially as she saw fit to specifically attack my Hume edits (when Hume was not under discussion) telling me """"your edits on Hume largely consit of such (read=poor) edits and I'm tempted to revert them."""" Since I hate to see a poor soul suffering under the weight of such crushing temptation, I gave in to the temptation myself, and deleted all of my contributions from this encylopedia. Within hours, a throng of rebellion began to emerge,. a grass-roots protest movement which demanded the immediate return of all the much-loved Kingshowman edits to the encylopedia. Editors rushed to my defense. I told Flyer22 to eat crow and admit that, contra her opinion, my Hume edits and contributions to this beloved tome of knowledge were not so poor after all. She declined and escalated her attacks. She was the one who harrassed me, and I thought we were done with this sordid little episode until she popped back up, eager to participate in the latest round of mob justice.   Kingshowman""",pseudo_civil,1.0,wiki_toxicity
"y0u l0se at life. 

0h n0, my last chance?  what d0 i d0?  what i d0?!  thanks f0r repeatedly qu0ting the rule b00k f0r me, cuntmuffin, i was having tr0uble finding it 0n my 0wn.  when i was 14 i had better things t0 d0 than be an encycl0pedia nazi, y0u ass-hat maker.  die in a fire.",pseudo_civil,1.0,wiki_toxicity
